lr: 0.0000080 | Train loss: 0.15810833871364594 | Validation loss: 0.2583619952201843 | Validation accuracy: 65.96767147225863 | QWKappa: 0.8677828567937755 | QWKappa Karolinska: 0.8537066078005436 | QWKappa Radboud: 0.8464551397140879
lr: 0.0000066 | Train loss: 0.15480878949165344 | Validation loss: 0.25682345032691956 | Validation accuracy: 66.22979467016165 | QWKappa: 0.8663197631592304 | QWKappa Karolinska: 0.8570959671500608 | QWKappa Radboud: 0.8397447162373313
lr: 0.0000053 | Train loss: 0.15507395565509796 | Validation loss: 0.2579362392425537 | Validation accuracy: 66.62297946701617 | QWKappa: 0.8690318037676559 | QWKappa Karolinska: 0.8590227540051725 | QWKappa Radboud: 0.8428308602819888
lr: 0.0000041 | Train loss: 0.14755645394325256 | Validation loss: 0.25584349036216736 | Validation accuracy: 66.57929226736566 | QWKappa: 0.8689376266465386 | QWKappa Karolinska: 0.855894293354925 | QWKappa Radboud: 0.8466267428956458
lr: 0.0000031 | Train loss: 0.15029513835906982 | Validation loss: 0.25621241331100464 | Validation accuracy: 66.79772826561818 | QWKappa: 0.8698218847106775 | QWKappa Karolinska: 0.8534273769910838 | QWKappa Radboud: 0.8497726386665064
lr: 0.0000021 | Train loss: 0.14697358012199402 | Validation loss: 0.2561933398246765 | Validation accuracy: 66.75404106596767 | QWKappa: 0.8691421874015214 | QWKappa Karolinska: 0.85346749506743 | QWKappa Radboud: 0.8481860825447827
lr: 0.0000014 | Train loss: 0.14537382125854492 | Validation loss: 0.2561013996601105 | Validation accuracy: 66.75404106596767 | QWKappa: 0.8695285118269643 | QWKappa Karolinska: 0.8544830458148629 | QWKappa Radboud: 0.8481606688320886
lr: 0.0000008 | Train loss: 0.144766166806221 | Validation loss: 0.2595507502555847 | Validation accuracy: 66.62297946701617 | QWKappa: 0.8669358316209884 | QWKappa Karolinska: 0.8523122016284281 | QWKappa Radboud: 0.8448612151648242
lr: 0.0000004 | Train loss: 0.14444544911384583 | Validation loss: 0.25757724046707153 | Validation accuracy: 66.92878986456968 | QWKappa: 0.869089902374235 | QWKappa Karolinska: 0.8530172435077601 | QWKappa Radboud: 0.849171526633794
lr: 0.0000300 | Train loss: 0.4669927954673767 | Validation loss: 0.37667909264564514 | Validation accuracy: 33.50808213193534 | QWKappa: 0.7009573975052237 | QWKappa Karolinska: 0.6560981099523634 | QWKappa Radboud: 0.6313579775402959
lr: 0.0003000 | Train loss: 0.38781484961509705 | Validation loss: 0.35939595103263855 | Validation accuracy: 25.251201397990393 | QWKappa: 0.6134791511250324 | QWKappa Karolinska: 0.5533805101225682 | QWKappa Radboud: 0.603068722340178
lr: 0.0000300 | Train loss: 0.28745949268341064 | Validation loss: 0.2764624357223511 | Validation accuracy: 52.468326780253385 | QWKappa: 0.8113590889218404 | QWKappa Karolinska: 0.7976059360149541 | QWKappa Radboud: 0.769629360673438
lr: 0.0000299 | Train loss: 0.2655082643032074 | Validation loss: 0.2674950361251831 | Validation accuracy: 52.86151157710791 | QWKappa: 0.8096296934481932 | QWKappa Karolinska: 0.7965320153906552 | QWKappa Radboud: 0.7744666339805755
lr: 0.0000296 | Train loss: 0.24950756132602692 | Validation loss: 0.253608375787735 | Validation accuracy: 55.57011795543906 | QWKappa: 0.8381301257129812 | QWKappa Karolinska: 0.8235744370325129 | QWKappa Radboud: 0.8061739403213158
lr: 0.0000292 | Train loss: 0.24117429554462433 | Validation loss: 0.24931113421916962 | Validation accuracy: 55.70117955439057 | QWKappa: 0.8375637875231746 | QWKappa Karolinska: 0.818958973485516 | QWKappa Radboud: 0.8100145513983296
lr: 0.0000286 | Train loss: 0.232847660779953 | Validation loss: 0.24747788906097412 | Validation accuracy: 60.987330712101354 | QWKappa: 0.8467405571647209 | QWKappa Karolinska: 0.8343025987966488 | QWKappa Radboud: 0.820166494550807
lr: 0.0000279 | Train loss: 0.2261817902326584 | Validation loss: 0.2506333887577057 | Validation accuracy: 57.536041939711666 | QWKappa: 0.8481697309407953 | QWKappa Karolinska: 0.8326644317917838 | QWKappa Radboud: 0.8209729686803917
lr: 0.0000269 | Train loss: 0.21959657967090607 | Validation loss: 0.23252400755882263 | Validation accuracy: 60.50677151594582 | QWKappa: 0.857343101825212 | QWKappa Karolinska: 0.8432074270045271 | QWKappa Radboud: 0.8337569297332518
lr: 0.0000259 | Train loss: 0.2114058881998062 | Validation loss: 0.24143026769161224 | Validation accuracy: 61.46788990825688 | QWKappa: 0.8505334391941133 | QWKappa Karolinska: 0.8350732727298515 | QWKappa Radboud: 0.8262483330796302
lr: 0.0000247 | Train loss: 0.2068835347890854 | Validation loss: 0.2544727921485901 | Validation accuracy: 55.35168195718655 | QWKappa: 0.8367563006268504 | QWKappa Karolinska: 0.815108517195691 | QWKappa Radboud: 0.8184565968619455
lr: 0.0000234 | Train loss: 0.20186489820480347 | Validation loss: 0.2376490980386734 | Validation accuracy: 60.94364351245085 | QWKappa: 0.8522582200377937 | QWKappa Karolinska: 0.8324593883794038 | QWKappa Radboud: 0.8328036320826355
lr: 0.0000220 | Train loss: 0.1938326060771942 | Validation loss: 0.23492400348186493 | Validation accuracy: 62.297946701616425 | QWKappa: 0.8544173926781164 | QWKappa Karolinska: 0.8425921361236814 | QWKappa Radboud: 0.8302915121382909
lr: 0.0000206 | Train loss: 0.19099070131778717 | Validation loss: 0.2406204640865326 | Validation accuracy: 62.03582350371342 | QWKappa: 0.8576936943469268 | QWKappa Karolinska: 0.8443080666729159 | QWKappa Radboud: 0.8350835855456927
lr: 0.0000190 | Train loss: 0.18566012382507324 | Validation loss: 0.2403910905122757 | Validation accuracy: 61.07470511140236 | QWKappa: 0.8523635766312345 | QWKappa Karolinska: 0.8356528526923537 | QWKappa Radboud: 0.8343751181319475
lr: 0.0000174 | Train loss: 0.1790236532688141 | Validation loss: 0.26242774724960327 | Validation accuracy: 62.341633901266924 | QWKappa: 0.8469411736049115 | QWKappa Karolinska: 0.8286349512343402 | QWKappa Radboud: 0.8266760129990515
lr: 0.0000158 | Train loss: 0.17567607760429382 | Validation loss: 0.23830761015415192 | Validation accuracy: 62.03582350371342 | QWKappa: 0.8608135703657759 | QWKappa Karolinska: 0.847390062923252 | QWKappa Radboud: 0.8389137396066104
lr: 0.0000142 | Train loss: 0.17066900432109833 | Validation loss: 0.23639382421970367 | Validation accuracy: 61.46788990825688 | QWKappa: 0.8579857384244254 | QWKappa Karolinska: 0.8455985630493132 | QWKappa Radboud: 0.83249675391697
lr: 0.0000126 | Train loss: 0.165256530046463 | Validation loss: 0.25465136766433716 | Validation accuracy: 61.51157710790738 | QWKappa: 0.8616383393160639 | QWKappa Karolinska: 0.8513072517093131 | QWKappa Radboud: 0.8399795847838512
lr: 0.0000110 | Train loss: 0.16650839149951935 | Validation loss: 0.24767471849918365 | Validation accuracy: 61.07470511140236 | QWKappa: 0.8585736427585492 | QWKappa Karolinska: 0.8466548180771242 | QWKappa Radboud: 0.8354212677697989
lr: 0.0000094 | Train loss: 0.1603105366230011 | Validation loss: 0.25419801473617554 | Validation accuracy: 61.29314110965487 | QWKappa: 0.8606412811601912 | QWKappa Karolinska: 0.8421012896911291 | QWKappa Radboud: 0.8449137198706013
lr: 0.0000080 | Train loss: 0.1591532677412033 | Validation loss: 0.2488015592098236 | Validation accuracy: 62.079510703363916 | QWKappa: 0.8597438931838401 | QWKappa Karolinska: 0.8492207861808205 | QWKappa Radboud: 0.8362438552193041
lr: 0.0000066 | Train loss: 0.15461136400699615 | Validation loss: 0.2501664161682129 | Validation accuracy: 63.12800349497597 | QWKappa: 0.8574732048340212 | QWKappa Karolinska: 0.8456552812892735 | QWKappa Radboud: 0.8374711573036541
lr: 0.0000053 | Train loss: 0.15523797273635864 | Validation loss: 0.24925659596920013 | Validation accuracy: 62.429008300567936 | QWKappa: 0.8598988107155447 | QWKappa Karolinska: 0.8462872923687234 | QWKappa Radboud: 0.8412359107337674
lr: 0.0000041 | Train loss: 0.15151475369930267 | Validation loss: 0.25412827730178833 | Validation accuracy: 62.56006989951944 | QWKappa: 0.8628746241183843 | QWKappa Karolinska: 0.8470895773641856 | QWKappa Radboud: 0.845895533859485
